,発表前点数(A),発表直後点数(B),発表2ヶ月後点数(C),増減1(B-A),増減2(C-A),ミシュランダミー変数,新規掲載ダミー変数
観測数,32260,32260,32260,32260,32260,32260,32260
平均,3.226,3.226,3.229,0.0,0.004,0.009,0.001
標準偏差,0.213,0.213,0.213,0.018,0.032,0.096,0.031
最小値,3.0,3.0,3.0,-1.36,-1.18,0.0,0.0
最大値,4.8,4.8,4.68,0.67,0.94,1.0,1.0
