サンプルのトリム,無し,0.1%,0.5%,1%
サンプルデータ数,32260,32196,31938,31614
ミシュランダミー変数,-0.007088,-0.000434,0.000214,0.000331
新規掲載ダミー変数,0.008553,0.001898,0.001361,00.000147
定数項,0.000470***,0.000472***,0.000361***,0.000212***
