サンプルのトリム,無し,0.1%,0.5%,1%
サンプルデータ数,32260,32196,31938,31614
ミシュランダミー変数,-0.026002***,-0.012315***,-0.001105,0.001566
新規掲載ダミー変数,0.034860***,0.021331***,0.010391**,0.004465
定数項,0.003723***,0.003565***,0.003295***,0.003302***
